Location,Indicator,Period,First Tooltip
Bangladesh,Reported number of human rabies deaths,2022,45
Bangladesh,Reported number of human rabies deaths,2021,40
Bangladesh,Reported number of human rabies deaths,2020,26
Bangladesh,Reported number of human rabies deaths,2019,57
Bangladesh,Reported number of human rabies deaths,2018,57
Bangladesh,Reported number of human rabies deaths,2017,80
Bangladesh,Reported number of human rabies deaths,2016,66
Bangladesh,Reported number of human rabies deaths,2015,83
Bhutan,Reported number of human rabies deaths,2022,0
Bhutan,Reported number of human rabies deaths,2021,0
Bhutan,Reported number of human rabies deaths,2020,1
Bhutan,Reported number of human rabies deaths,2019,0
Bhutan,Reported number of human rabies deaths,2018,0
Bhutan,Reported number of human rabies deaths,2017,0
Bhutan,Reported number of human rabies deaths,2016,1
Bhutan,Reported number of human rabies deaths,2015,0
Democratic People's Republic of Korea,Reported number of human rabies deaths,2022,No data
Democratic People's Republic of Korea,Reported number of human rabies deaths,2021,No data
Democratic People's Republic of Korea,Reported number of human rabies deaths,2020,No data
Democratic People's Republic of Korea,Reported number of human rabies deaths,2019,No data
Democratic People's Republic of Korea,Reported number of human rabies deaths,2018,No data
Democratic People's Republic of Korea,Reported number of human rabies deaths,2017,No data
Democratic People's Republic of Korea,Reported number of human rabies deaths,2016,No data
Democratic People's Republic of Korea,Reported number of human rabies deaths,2015,No data
India,Reported number of human rabies deaths,2022,305
India,Reported number of human rabies deaths,2021,228
India,Reported number of human rabies deaths,2020,268
India,Reported number of human rabies deaths,2019,521
India,Reported number of human rabies deaths,2018,364
India,Reported number of human rabies deaths,2017,994
India,Reported number of human rabies deaths,2016,1005
India,Reported number of human rabies deaths,2015,971
Indonesia,Reported number of human rabies deaths,2022,96
Indonesia,Reported number of human rabies deaths,2021,62
Indonesia,Reported number of human rabies deaths,2020,40
Indonesia,Reported number of human rabies deaths,2019,106
Indonesia,Reported number of human rabies deaths,2018,No data
Indonesia,Reported number of human rabies deaths,2017,No data
Indonesia,Reported number of human rabies deaths,2016,No data
Indonesia,Reported number of human rabies deaths,2015,No data
Maldives,Reported number of human rabies deaths,2022,No data
Maldives,Reported number of human rabies deaths,2021,No data
Maldives,Reported number of human rabies deaths,2020,No data
Maldives,Reported number of human rabies deaths,2019,No data
Maldives,Reported number of human rabies deaths,2018,No data
Maldives,Reported number of human rabies deaths,2017,No data
Maldives,Reported number of human rabies deaths,2016,No data
Maldives,Reported number of human rabies deaths,2015,No data
Myanmar,Reported number of human rabies deaths,2022,55
Myanmar,Reported number of human rabies deaths,2021,20
Myanmar,Reported number of human rabies deaths,2020,53
Myanmar,Reported number of human rabies deaths,2019,69
Myanmar,Reported number of human rabies deaths,2018,71
Myanmar,Reported number of human rabies deaths,2017,6
Myanmar,Reported number of human rabies deaths,2016,62
Myanmar,Reported number of human rabies deaths,2015,103
Nepal,Reported number of human rabies deaths,2022,13
Nepal,Reported number of human rabies deaths,2021,18
Nepal,Reported number of human rabies deaths,2020,15
Nepal,Reported number of human rabies deaths,2019,18
Nepal,Reported number of human rabies deaths,2018,32
Nepal,Reported number of human rabies deaths,2017,8
Nepal,Reported number of human rabies deaths,2016,6
Nepal,Reported number of human rabies deaths,2015,13
Sri Lanka,Reported number of human rabies deaths,2022,27
Sri Lanka,Reported number of human rabies deaths,2021,25
Sri Lanka,Reported number of human rabies deaths,2020,31
Sri Lanka,Reported number of human rabies deaths,2019,26
Sri Lanka,Reported number of human rabies deaths,2018,25
Sri Lanka,Reported number of human rabies deaths,2017,23
Sri Lanka,Reported number of human rabies deaths,2016,24
Sri Lanka,Reported number of human rabies deaths,2015,28
Thailand,Reported number of human rabies deaths,2022,3
Thailand,Reported number of human rabies deaths,2021,4
Thailand,Reported number of human rabies deaths,2020,3
Thailand,Reported number of human rabies deaths,2019,3
Thailand,Reported number of human rabies deaths,2018,18
Thailand,Reported number of human rabies deaths,2017,11
Thailand,Reported number of human rabies deaths,2016,14
Thailand,Reported number of human rabies deaths,2015,5
Timor-Leste,Reported number of human rabies deaths,2022,0
Timor-Leste,Reported number of human rabies deaths,2021,0
Timor-Leste,Reported number of human rabies deaths,2020,0
Timor-Leste,Reported number of human rabies deaths,2019,0
Timor-Leste,Reported number of human rabies deaths,2018,0
Timor-Leste,Reported number of human rabies deaths,2017,No data
Timor-Leste,Reported number of human rabies deaths,2016,No data
Timor-Leste,Reported number of human rabies deaths,2015,No data
